,Mileage,EngineV,log_price,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_yes
0,277,2.0,8.34283980427146,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
1,427,2.9,8.974618038455112,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2,358,5.0,9.495519314209846,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
3,240,4.2,10.043249494911286,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4,120,2.0,9.814656338829513,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
5,200,2.7,9.560997243589352,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
6,193,1.5,9.28720881623276,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
7,212,1.8,7.24422751560335,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
8,177,1.5,9.388486557359657,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
9,260,1.79,7.824046010856292,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
10,165,2.7,9.159047077588632,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
11,100,1.8,9.259130536145614,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True
12,250,4.7,9.680344001221918,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
13,84,1.5,9.0595174822416,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
14,203,2.0,8.003028666384733,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
15,21,2.0,10.184900011974314,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
16,250,2.5,8.160518247477505,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17,0,2.4,10.551454296015532,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
18,132,1.4,8.922658299524402,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
19,225,2.4,8.824677891164198,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
20,130,2.4,9.259130536145614,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
21,163,4.2,10.1226230824528,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
22,151,3.0,9.94270826568941,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
23,330,2.4,8.779557455883728,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
24,171,2.2,9.515321941506025,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
25,65,1.3,9.047821442478408,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
26,1,2.3,7.9724660159745655,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
27,72,3.0,9.975808214115753,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
28,87,3.8,9.792555991828847,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
29,160,4.8,10.257659366256743,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30,160,1.9,9.190137664658664,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
31,147,2.4,9.581903928408666,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
